,0,1,2,3,4,5,6,7,8
quant_tracking_multi_alpha,7.065722409374709,6.954860067213068,6.855726125065943,6.75253302291482,6.652194630760816,6.550861068606169,6.4490751564566935,6.341174344309467,6.2143467721477945
quant_tracking_simple_proj,7.0657318748817675,6.954909423596112,6.855612219494438,6.752627920914167,6.6523055366487025,6.550964398894059,6.449015219048852,6.341244013542766,6.21430425982862
quant_tracking_monotonic,7.068933065763611,6.957492739936662,6.855044094620805,6.753182216221906,6.651180875017893,6.5491204758203585,6.445600139773918,6.337985712437516,6.217687876362813
quant_tracking_monotonic_fixed,7.125748881498385,6.963837124757705,6.856194742889978,6.753416524613535,6.651891584585916,6.549892925912293,6.445423643271391,6.323989501609702,6.115590357551512
quant_tracking_proj,7.0666876533590175,6.955169522371398,6.855306695785313,6.753390030238604,6.652273266933512,6.549916803583501,6.449499664374685,6.341588933910114,6.213702281624954
ground_truth,7.055207243038744,6.955207243038744,6.855207243038744,6.755207243038743,6.655207243038743,6.555207243038744,6.455207243038744,6.355207243038743,6.2552072430387415
quant_tracking_multi_alpha,3.835832108366314,3.725478082986329,3.6239530576143193,3.5217456922466597,3.4217968068688456,3.323747791491063,3.222714356123503,3.1138318307495174,2.9886047553738178
quant_tracking_simple_proj,3.835706143976191,3.725533841106319,3.6240009524546233,3.5217641372164166,3.4216847398076236,3.323726271450747,3.22269221808511,3.1137682366144674,2.988618661108883
quant_tracking_monotonic,3.8336177239575435,3.726795650234674,3.624114058731166,3.5218051286901337,3.4215291008834483,3.321203724532256,3.2161514041040045,3.1075741332937974,2.9903345330108424
quant_tracking_monotonic_fixed,3.889230135702447,3.7317070177187404,3.624984327306243,3.5226726619391346,3.4203619200677107,3.320655641903922,3.21356980926852,3.093101740637567,2.8894035717108
quant_tracking_proj,3.8362396120251803,3.726665505503477,3.6236053282755996,3.522677346462995,3.4220013872888004,3.324165052202759,3.2230405847800534,3.1139771497524933,2.988116375529038
