,0,1,2,3,4,5,6,7,8
quant_tracking_multi_alpha,0.0008599999999999719,0.0009999999999998899,0.0011399999999999189,0.0012599999999999278,0.0014000000000000679,0.0015199999999999658,0.0016399999999998638,0.0017799999999998928,0.0019000000000000128
quant_tracking_simple_proj,0.0008599999999999719,0.0009999999999998899,0.0011399999999999189,0.0012599999999999278,0.0014000000000000679,0.0015199999999999658,0.0016399999999998638,0.0017799999999998928,0.0019000000000000128
quant_tracking_monotonic,0.0006399999999999739,0.0008999999999999009,0.0009599999999999609,0.0010200000000000209,0.0011999999999999789,0.0012000000000000899,0.0012999999999998568,0.0013799999999999368,0.0013799999999999368
quant_tracking_monotonic_fixed,0.013440000000000119,0.000220000000000109,0.0010999999999999899,0.0007199999999999429,0.000280000000000058,0.00011999999999989797,0.00019999999999997797,0.0018000000000000238,0.01869999999999994
quant_tracking_proj,0.00041999999999997595,0.0008399999999999519,0.0012399999999999078,0.0011999999999999789,0.0014600000000000168,0.0014600000000000168,0.0017399999999998528,0.0018599999999999728,0.0022799999999999487
ground_truth,0.0015200000000000768,0.0016799999999999038,0.0006399999999999739,0.00025999999999992696,0.0006599999999998829,4.0000000000040004e-05,0.0010599999999999499,0.0016199999999999548,5.999999999994898e-05
quant_tracking_multi_alpha,0.000360000000000138,0.00024000000000001798,5.999999999994898e-05,9.999999999998899e-05,0.00029999999999996696,0.00048000000000003595,0.0006399999999999739,0.0007999999999999119,0.0009399999999999409
quant_tracking_simple_proj,0.000360000000000138,0.00024000000000001798,5.999999999994898e-05,9.999999999998899e-05,0.00029999999999996696,0.00048000000000003595,0.0006399999999999739,0.0007999999999999119,0.0009399999999999409
quant_tracking_monotonic,9.999999999998899e-05,5.999999999994898e-05,7.999999999996898e-05,0.00021999999999999797,0.0005399999999999849,0.0008200000000000429,0.0009199999999999209,0.0009799999999999809,0.0011399999999999189
quant_tracking_monotonic_fixed,0.016159999999999952,0.000280000000000058,0.0005999999999999339,0.00027999999999994696,0.00015999999999993797,0.0006800000000000139,0.0007999999999999119,0.0023400000000000087,0.016059999999999963
quant_tracking_proj,0.0007600000000000939,0.00039999999999995595,1.999999999990898e-05,5.999999999994898e-05,0.00021999999999999797,0.000520000000000076,0.0007399999999999629,0.0008799999999999919,0.0013600000000000279
ground_truth,0.00015999999999993797,0.000140000000000029,0.0026000000000001577,0.0027599999999998737,0.0010799999999999699,0.0013199999999999878,0.0011399999999999189,0.0009599999999999609,0.00042000000000008697
quant_tracking_multi_alpha,9.999999999998899e-05,4.0000000000040004e-05,0.00019999999999997797,0.00036000000000002697,0.00048000000000003595,0.0006000000000000449,0.0007599999999998719,0.0009199999999999209,0.0010799999999999699
quant_tracking_simple_proj,9.999999999998899e-05,4.0000000000040004e-05,0.00019999999999997797,0.00036000000000002697,0.00048000000000003595,0.0006000000000000449,0.0007599999999998719,0.0009199999999999209,0.0010799999999999699
quant_tracking_monotonic,0.00019999999999997797,0.0,0.00012000000000000899,0.00029999999999996696,0.00043999999999999595,0.000520000000000076,0.0007999999999999119,0.0009599999999999609,0.0011200000000000099
