,y,forecasts,scores
1954-03-01,1.1265490048817162,1.6723087866025779,0.5457597817208617
1954-04-01,0.6369426751592355,2.2094329352085396,1.572490260049304
1954-05-01,0.8614232209737782,1.8245240541718837,0.9631008331981055
1954-06-01,0.635039223010847,1.096227984318022,0.461188761307175
1954-07-01,0.26129152668905586,1.2398984703120264,0.9786069436229705
1954-08-01,0.0,2.606738658494897,2.606738658494897
1954-09-01,-0.2975083674228385,2.7388152301590933,3.036323597581932
1954-10-01,-0.8534322820037077,1.627710018876858,2.481142300880566
1954-11-01,-0.26070763500931626,1.634064829482986,1.8947724644923023
1954-12-01,-0.37216226274656705,2.2599248978386934,2.6320871605852605
1955-01-01,-0.6310319227913919,1.5592594897431833,2.190291412534575
1955-02-01,-0.6298629121896937,1.381324887252914,2.0111877994426077
1955-03-01,-0.519866320089124,1.0960967564899053,1.6159630765790294
1955-04-01,-0.2606105733432673,1.105083493837496,1.3656940671807634
1955-05-01,-0.5941329372447068,0.6647645069439472,1.258897444188654
1955-06-01,-0.8537490720118779,2.043880077259975,2.897629149271853
1955-07-01,-0.37230081906179935,1.31164752385316,1.6839483429149593
1955-08-01,-0.484171322160154,1.025530053652951,1.509701375813105
1955-09-01,0.14919806042521522,1.1317246957175044,0.9825266352922892
1955-10-01,0.37425149700598404,1.316503685473592,0.942252188467608
1955-11-01,0.37341299477220424,0.9733057665519368,0.5998927717797325
1955-12-01,0.37355248412402897,0.09728735244305912,0.27626513168096983
1956-01-01,0.22413149047439962,-0.005508436367264009,0.22963992684166362
1956-02-01,0.1491424310216205,1.0020979877150644,0.8529555566934439
1956-03-01,0.3732736095558131,0.10106299495021985,0.27221061460559326
1956-04-01,0.5225830533781339,0.9668990291300105,0.44431597575187654
1956-05-01,0.9712364587224576,0.4772821346175988,0.4939543241048588
1956-06-01,1.647323099962561,0.2506890389701605,1.3966340609924006
1956-07-01,1.9805680119581393,0.26649820193986073,1.7140698100182785
1956-08-01,2.208083832335328,0.130859125278097,2.077224707057231
1956-09-01,1.862197392923659,0.15548142643998467,1.7067159664836744
1956-10-01,2.572706935123037,0.3258199384326093,2.2468869966904275
1956-11-01,2.34375,0.35376056086318997,1.98998943913681
1956-12-01,2.828433196873825,0.6665419368613142,2.161891260012511
1957-01-01,3.130823704808061,0.9455682252900682,2.185255479517993
1957-02-01,3.4996276991809516,0.9535544419878927,2.5460732571930587
1957-03-01,3.607288955001864,0.8533297382163734,2.7539592167854905
