,quant_tracking,quant_tracking_simple_proj,quant_tracking_monotonic,quant_tracking_proj
0.01,0.005064789307213562,0.005081624324048579,0.011097337006427932,0.004706152433425171
0.02,0.005215284154678112,0.005292317110498947,0.011950311192735456,0.005837669625548428
0.03,0.005550454035302548,0.0056422813998571845,0.0113947556371799,0.005506580961126436
0.04,0.005792776247321733,0.005814202632384481,0.011434037343128266,0.006114682175288259
0.05,0.006226405468829736,0.006430976430976454,0.012128864401591671,0.0066656463626160725
0.06,0.006403938373635318,0.0064702581369247775,0.013078257320681531,0.006997245179063336
0.07,0.0063702683399653025,0.006546270788695023,0.01352004897459441,0.007525252525252521
0.08,0.006412100806040199,0.006511070298949085,0.014387307417610441,0.007224262830323446
0.09,0.006594735231098869,0.006790123456790124,0.015442301805938178,0.007434445464748501
0.1,0.0068243036424854644,0.006992653810835633,0.01568003264972963,0.007581879400061224
0.11,0.006705948372615043,0.0068141006019793934,0.01642026323844507,0.007138047138047146
0.12,0.006721252933374151,0.0068288950107131974,0.017409448015508637,0.007387001326395273
0.13,0.0069987756351392785,0.007338536883991436,0.019796959493929206,0.008003775124987254
0.14,0.007263544536271816,0.007377308437914505,0.020097949188858297,0.00842107948168555
0.15,0.007117130905009699,0.007240077543107853,0.020317824711764115,0.007963473114988273
0.16,0.0072308948066524045,0.007183450668299174,0.02078920518314458,0.007827262524232236
0.17,0.0071701867156412765,0.007365574941332532,0.020988674625038253,0.007730843791449862
0.18,0.007356902356902344,0.007328333843485347,0.0225242322212019,0.009138863381287608
0.19,0.007507397204366877,0.007653810835628993,0.022897663503724085,0.008593000714212809
0.2,0.007589021528415465,0.007754820936639115,0.023703703703703696,0.00879144985205591
0.21,0.007600755024997451,0.00788439955106622,0.02421946740128559,0.008931231506989086
0.22,0.007891541679420473,0.00800632588511377,0.024048056320783603,0.008816957453321096
0.23,0.007846648301193762,0.008265993265993272,0.02410315273951639,0.009112335475971848
0.24,0.007781348841954907,0.008131313131313137,0.02454851545760638,0.008688399142944605
0.25,0.0075635139271502975,0.007736455463728199,0.024411794714825033,0.008189470462197743
0.26,0.007582899704111832,0.0077655341291705,0.024251606978879722,0.008274155698398131
0.27,0.007432404856647288,0.00738955208652179,0.024156718702173258,0.008616467707376806
0.28,0.007269156208550154,0.007623201714110811,0.024220997857361502,0.008395571880420373
0.29,0.007442097745128052,0.007537496173859813,0.024812264054688296,0.008735843281297829
0.3,0.007558412406897274,0.007832874196510577,0.024519946944189363,0.008328741965105607
0.31,0.007578308335884071,0.007573206815631034,0.02550505050505048,0.008200693806754387
0.32,0.00775635139271502,0.007924701561065187,0.025787164575043348,0.008617998163452698
0.33,0.007752270176512603,0.007985919804101623,0.025228037955310676,0.009102642587491078
0.34,0.007567595143352724,0.0077614529129680695,0.025566778900112243,0.008959289868380784
0.35,0.007730843791449857,0.007985409652076324,0.026295786144271006,0.008884297520661161
0.36,0.007817059483726154,0.008000204060810126,0.02586521783491482,0.008695541271298856
0.37,0.007829813284358746,0.008087440057137034,0.02614376084073055,0.008991939598000213
0.38,0.008012957861442717,0.008061422303846554,0.026623303744515877,0.009149066421793701
0.39,0.008132843587389048,0.008231813080297936,0.025965717783899615,0.009260279563309876
